_id,singkat,hasil
3592,ttpi,tetapi
3593,ttwa,tertawa
3594,tu,itu
3595,tuiter,twitter
3596,tuiteran,twitteran
3597,tuiterku,twitterku
3598,tuker,tukar
3599,tukeran,bertukar
3600,tukoke,belikan
3601,tukokne,belikan
3602,tukokno,belikan
3603,tukr,tukar
3604,tuku,beli
3605,tukuen,beli saja
3606,tungu,tunggu
3607,tungulah,tunggulah
3608,tunjukan,tunjukkan
3609,tunjukin,tunjukkan
3610,turu,tidur
3611,tv,televisi
3612,twet,tweet
3613,twit,tweet
3614,twiter,twitter
3615,twiteran,twitteran
3616,u,kamu
3617,u/,untuk
3618,ud,sudah
3619,uda,sudah
3620,udah,sudah
3621,Ude,sudah
3622,udeh,sudah
3623,udh,sudah
3624,uga,tidak
3625,ugak,tidak
3626,ujan,hujan
3627,uke,oke
3628,ulngn,ulangan
3629,ultah,ulang tahun
3630,ulth,ulang tahun
3631,uncle,paman
3632,unyu,lucu
3633,unyukan,lucukan
3634,utamain,utamakan
3635,utk,untuk
3636,vacation,liburan
3637,vidio,video
3638,w,saya
3639,wadh,aduh
3640,wadoh,aduh
3641,wadon,perempuan
3642,wadu,aduh
3643,waduh,aduh
3644,wae,saja
3645,wagub,wakil gubernur
3646,wait,tunggu
3647,walaupn,walaupun
3648,want,ingin
3649,wareg,kenyang
3650,warkop,warung kopi
3651,warteg,warung tegal
3652,wat,untuk
3653,web,situs
3654,website,situs
3655,wedok,perempuan
3656,wekday,weekday
3657,wekeend,akhir pekan
3658,wekend,akhir pekan
3659,wes,sudah
3660,what,apa
3661,when,kapan
3662,where,dimana
3663,while,ketika
3664,why,kenapa
3665,win,menang
3666,wis,sudah
3667,wkt,waktu
3668,wktu,waktu
3669,wktuny,waktunya
3670,wktunya,waktunya
3671,wnita,wanita
3672,woman,wanita
3673,women,wanita
3674,wonten,ada
3675,Wontene,yang ada
3676,words,kata
3677,work,bekerja
3678,world,dunia
3679,wrn,warna
3680,wrna,warna
3681,wtf,bangsat
3682,Wuedan,edan
3683,yaolo,Ya Allah
3684,yaoloh,Ya Allah
3685,Yaowoh,Ya Allah
3686,yaud,ya sudah
3687,Yauda,ya sudah
3688,yaudah,ya sudah
3689,Yaude,ya sudah
3690,yaudeh,ya sudah
3691,yaudh,ya sudah
3692,yawdah,ya sudah
3693,yawes,ya sudah
3694,yaweslah,ya sudahlah
3695,yawlloh,Ya Allah
3696,yawloh,Ya Allah
3697,Yawoh,Ya Allah
3698,Ydh,ya sudah
3699,year,tahun
3700,yearbok,buku tahunan
3701,yearbook,buku tahunan
3702,yegak,iya tidak
3703,yes,ya
3704,yg,yang
3705,yng,yang
3706,yo,ya
3707,yoi,ya
3708,you,kamu
3709,yowes,ya sudah
3710,yoweslah,ya sudahlah
3711,yowis,ya sudah
3712,yth,yang terhormat
3713,yudeh,ya sudah
3714,yudh,ya sudah
3715,ywd,ya sudah
3716,ywdah,ya sudah
3717,ywdh,ya sudah
3718,ywdhlh,ya sudahlah
3719,ywis,ya sudah
3720,rp,rupiah
3721,anakjakartaasikasik,anak jakarta asyik asyik
3722,pakcikdahtua,pak cik sudah tua
3723,pakcikmudalagi,pak cik muda lagi
3724,t3tapjokowi,tetap jokowi
3725,3x,tiga kali
3726,aamiin,amin
3727,aamiinn,amin
3728,aamin,amin
3729,aammiin,amin
3730,abis,habis
3731,abisin,habiskan
3732,acau,kacau
3733,achok,ahok
3734,ad,ada
3735,adek,adik
3736,adl,adalah
3737,adlah,adalah
3738,adlh,adalah
3739,ado,ada
3740,aduhh,aduh
3741,aer,air
3742,afdol,afdal
3743,agamaataualqur,agama alquran
3744,agm,agama
3745,agma,agama
3746,ahaha,haha
3747,ahahaha,haha
3748,ahehehehe,hehe
3749,ahir,akhir
3750,ahirnya,akhirnya
3751,ahk,ahok
3752,ahlamdulillah,alhamdulillah
3753,ahli2,para ahli
3754,ahlusunnah,ahlus sunah
3755,ahmaddani,ahmad dhani
3756,aho,ahok
3757,ahoax,ahok
3758,ahoaxx,ahok
3759,ahog,ahok
3760,ahokataudjarot,ahok djarot
3761,ahokbebanijokowi,ahok beban jokowi
3762,ahokbtp,ahok basuki tjahaja purnama
3763,ahokditolakwarga,ahok ditolak warga
3764,ahokdjarot,ahok djarot
3765,ahokdjarotterbukti,ahok djarot terbukti
3766,ahokers,ahoker
3767,ahokfighter,ahok pejuang
3768,ahokforpresident,ahok for presiden
3769,ahokisthebest,ahok terbaik
3770,ahokjarot,ahok djarot
3771,ahokk,ahok
3772,ahokmasukbui,ahok masuk bui
3773,ahokmeskipun,ahok meskipun
3774,ahokpositifjadi,ahok positif jadi
3775,ahoksatuputaran,ahok satu putaran
3776,ahoksemangat,ahok semangat
3777,ahoktersangka,ahok tersangka
3778,ahokterzhalimi,ahok terzalimi
3779,ahoktetap,ahok tetap
3780,ahoktidaksendiri,ahok tidak sendiri
3781,ahokUSER,ahok
3782,ahook,ahok
3783,ahox,ahok
3784,aing,aku
3785,airmata,air mata
3786,aiskrim,es krim
3787,aj,saja
3788,aja,saja
3789,ajaa,saja
3790,ajah,saja
3791,ajalah,sajalah
3792,aje,saja
3793,ajg,anjing
3794,ajh,saja
3795,ajib,hebat
3796,ajj,saja
3797,ak,aku
3798,akalakalan,akal akalan
3799,akalakaln,akal akalan
3800,akankena,akan kena
3801,akherat,akhirat
3802,akhi,saudara
3803,akhirny,akhirnya
3804,akhirnyamush,akhirnya musuh
3805,akirnya,akhirnya
3806,akn,akan
3807,akoh,aku
3808,aksiaksi1120aksi112020aksi1120,aksi aksi
3809,akumuslim,aku muslim
3810,akuwa,aqua
3811,alahuakbar,allahu akbar
3812,alallohu,alallahu
3813,alesan,alasan
3814,alhamdulilah,alhamdulillah
3815,alhamdulillaah,alhamdulillah
3816,alhamdullilah,alhamdulillah
3817,alhmdllh,alhamdulillah
3818,allahuakbar,allahu akbar
3819,allahughayatuna,allahu ghayatuna
3820,alloh,allah
3821,allohu,allahu
3822,alqur,alquran
3823,ama,sama
3824,amaca,ah masa
3825,amajing,luar biasa
3826,amcaman,ancaman
3827,amiin,amin
3828,aminn,amin
3829,ampe,sampai
3830,amriki,amerika
3831,amuh,kamu
3832,ana,saya
3833,anbiarkekinian,biar kekinian
3834,ancen,memang
3835,ancur,hancur
3836,ancuur,hancur
3837,ane,saya
3838,aneh2,aneh aneh
3839,anget,hangat
3840,angktpn,angkatpun
3841,anjeng,anjing
3842,anjg,anjing
3843,ank,anak
3844,anomaly,anomali
3845,antikorupsi,anti korupsi
3846,antum,kalian
3847,anugrah,anugerah
3848,ap,apa
3849,apa2,apa apa
3850,apaapaan,apa apaan
3851,apaapalah,apa sajalah
3852,apah,apa
3853,apakabar,apa kabar
3854,apalg,apa lagi
3855,apamaunya,apa maunya
3856,apane,apanya
3857,apaoun,apapun
3858,apasih,apa sih
3859,ape,apa
3860,apenista,penista
3861,aph,apa
3862,apk,apakah
3863,aplgi,apa lagi
3864,apo,apa
3865,apose,apa sih
3866,apz,apa
3867,aq,aku
3868,aquh,aku
3869,artinx,artinya
3870,asek,asyik
3871,aseng,asing
3872,asew,anjing
3873,asik,asyik
3874,ask,tanya
3875,asline,aslinya
3876,assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
3877,assalamuallaikum,assalamualaykum
3878,asu,anjing
3879,asw,anjing
3880,asyek,asyik
3881,atauatau05atauatau0atauatau0,atau
3882,atauatauatau,atau
3883,atauatauatau201atauatau201atauatauatau201atauatau,atau
3884,atauatauatauatau,atau
3885,atauatauatauatauatauatauatauatauatauatau,atau
3886,atauem,atau
3887,atauhr,atau
3888,ataus,atau
3889,ati,hati
3890,ati2,hati hati
3891,atit,sakit
3892,ato,atau
3893,atribut2,atribut atribut
3894,atu,satu
3895,atw,atau
3896,awkeren,keren
3897,awutawutan,awut awutan
3898,aya,ada
3899,ayang,sayang
3900,ayok,ayo
3901,ayoo,ayo
3902,ayosavepakahok,ayo lindungi pak ahok
3903,ayuk,ayo
3904,aza,saja
3905,azhan,azan
3906,babeh,ayah
3907,badboy,bad boy
3908,badjingan,bajingan
3909,bae,baik
3910,bagaimnpun,bagaimana
3911,bagi2,bagi bagi
3912,bagimane,bagaimana
3913,bahwasannya,bahwasanya
3914,bakalan,akan
3915,balaikota,balai kota
3916,bales,balas
3917,balikin,kembalikan
3918,baliq,balig
3919,bandarq,bandarku
3920,banding2in,membanding bandingkan
3921,bandingin,bandingkan
3922,banga,bangsa
3923,banged,banget
3924,bangen,banget
3925,bangett,banget
3926,bangettt,banget
3927,bangke,bangkai
3928,bangsag,bangsat
3929,bangst,bangsat
3930,bantuk,bentuk
3931,banun,bangun
3932,banyak2,perbanyak
3933,banyakin,perbanyak
3934,bapake,ayahnya
3935,baper,bawa perasaan
3936,baryaw,sabar ya
3937,baryw,sabar ya
3938,baso,bakso
3939,basukibtp,basuki tjahaja purnama
3940,basukigameover,basuki kalah
3941,bat,banget
3942,bauu,bau
3943,bawak,bawa
3944,bay,selamat tinggal
3945,bayangin,bayangkan
3946,bayaranatausuruhan,bayaran atau suruhan
3947,bbrapa,beberapa
3948,bbrp,beberapa
3949,bc,baca
3950,bct,bacot
3951,bda,beda
3952,bdan,badan
3953,bdg,bandung
3954,bdn,badan
3955,becanda,bercanda
3956,bedoa,berdoa
3957,bedua,berdua
3958,bege,bego
3959,bejad,bejat
3960,bekel,bekal
3961,bekingin,lindungi
3962,belaislambelaislambelaislam,bela islam
3963,belaquran,bela alquran
3964,beliin,belikan
3965,belom,belum
3966,belon,belum
3967,benar2,benar benar
3968,bener,benar
3969,bener2,benar benar
3970,beneran,benaran
3971,berantem,bertengkar
3972,berdo,berdoa
3973,berenti,berhenti
3974,berfikir,berpikir
3975,bergengam,bergenggam
3976,bergoncang,berguncang
3977,berindak,bertindak
3978,beritadan,berita dan
3979,beritain,memberitakan
3980,beritany,beritanya
3981,beritaterkini,berita kini
3982,berkacaberkacanya,berkaca kaca
3983,berrti,berarti
3984,bersyukrlah,bersyukurlah
3985,beruk2,beruk beruk
3986,besoq,besok
3987,bet,banget
3988,bete,sebal
3989,betulin,betulkan
3990,beud,banget
3991,beut,banget
3992,bg,bagi
3993,bgd,banget
3994,bgerak,bergerak
3995,bget,banget
3996,bgi,bagi
3997,bgini,begini
3998,bgitu,begitu
3999,bgks,bungkus
4000,bgm,bagaimana
4001,bgmn,bagaimana
4002,bgmna,bagaimana
4003,bgn,bangun
4004,bgni,begini
4005,bgntdr,bangun tidur
4006,bgs,bagus
4007,bgst,bangsat
4008,bgt,banget
4009,bgtu,begitu
4010,bgus,bagus
4011,bhay,selamat tinggal
4012,bhinekaan,bhineka
4013,bhinneka,bhineka
4014,bhkan,bahkan
4015,bhn,bahan
4016,bhong,bohong
4017,bhs,bahas
4018,bhw,bahwa
4019,bhwa,bahwa
4020,bhy,bahaya
4021,biarin,biarkan
4022,biarpn,biarpun
4023,bijimane,bagaimana
4024,bisenye,bisanya
4025,bistu,habis itu
4026,bisya,bisa
4027,biza,bisa
4028,bj,baju
4029,bju,baju
4030,bk,buku
4031,bkan,bukan
4032,bkap,ayah
4033,bkin,bikin
4034,bkl,bakal
4035,bkn,bukan
4036,bkna,bukannya
4037,bkp,ayah
4038,bkr,bakar
4039,bks,bungkus
4040,bl,beli
4041,blajar,belajar
4042,blakan,blak
4043,blg,bilang
4044,blh,boleh
4045,bli,beli
4046,blik,balik
4047,blingsatanya,belingsatan
4048,bljr,belajar
4049,blk,balik
4050,blkg,belakang
4051,blkng,belakang
4052,blkngny,belakangnya
4053,blm,belum
4054,bln,bulan
4055,blng,bilang
4056,blngn,bilangan
4057,blom,belum
4058,blon,belum
4059,bloon,belum
4060,bls,balas
4061,blum,belum
4062,blusukan,blusuk
4063,bndg,bandung
4064,bndr,bandar
4065,bner,benar
4066,bneran,benar
4067,bnget,banget
4068,bngks,bungkus
4069,bngng,bingung
4070,bngsa,bangsa
4071,bngt,banget
4072,bngun,bangun
4073,bnr,benar
4074,bnrbnr,benar benar
4075,bnrn,benaran
4076,bntar,sebentar
4077,bntr,sebentar
4078,bnyak,banyak
4079,bnyk,banyak
4080,bnykny,banyaknya
4081,bobo,tidur
4082,bobok,tidur
4083,bodo,bodoh
4084,bokap,ayah
4085,bokaps,ayah
4086,bokapz,ayah
4087,bole,boleh
4088,boong,bohong
4089,bosen,bosan
4090,boskuh,bosku
4091,boten,tidak
4092,bozen,bosan
4093,bozn,bosan
4094,bp,bapak
4095,bpak,bapak
4096,bpk,bapak
4097,br,baru
4098,brani,berani
4099,brantas,berantas
4100,brapa,berapa
4101,brarti,berarti
4102,brasa,berasa
4103,bravoo,bravo
4104,breake,istirahat
4105,breaking,istirahat
4106,brengsek,berengsek
4107,brg,barang
4108,brgkt,berangkat
4109,brharap,berharap
4110,brhsl,berhasil
4111,brikut,berikut
4112,bringas,beringas
4113,brisik,berisik
4114,brjln,berjalan
4115,brjuang,berjuang
4116,brkeliaran,berkeliaran
4117,brkfst,sarapan
4118,brkpntingan,berkepentingan
4119,brkumandang,berkumandang
4120,brmslh,bermasalah
4121,brngkt,berangkat
4122,brp,berapa
4123,brpa,berapa
4124,brpedoman,berpedoman
4125,brrti,berarti
4126,brs,beres
4127,brsal,berasal
4128,brsama,bersama
4129,brsamamu,bersamamu
4130,brshbt,bersahabat
4131,brsm,bersama
4132,brtahan,bertahan
4133,brthn,bertahan
4134,brtmn,berteman
4135,bru,baru
4136,bruh,buruh
4137,bryaw,sabar ya
4138,bryw,sabar ya
4139,bs,bisa
4140,bsa,bisa
4141,bsk,besok
4142,bsok,besok
4143,bsoq,besok
4144,bsr,besar
4145,bte,bosan
4146,btg,batang
4147,bth,butuh
4148,btl,betul
4149,btul,betul
4150,btull,betul
4151,buad,buat
4152,buatapa,buat apa
4153,buatin,buatkan
4154,bubarin,bubarkan
4155,bukabukaan,buka bukaan
4156,bukane,bukannya
4157,bukn,bukan
4158,buktiin,buktikan
4159,buktikan,buktikan
4160,buktikqn,buktikan
4161,bul,kibul
4162,bulshit,kibul
4163,buryam,bubur ayam
4164,buzer,buzzer
4165,buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks
4166,buzzerbuzzernya,buzzer buzzernya
4167,bw,bawa
4168,bwa,bawa
4169,bwaanx,bawaan
4170,bwh,bawah
4171,bwt,buat
4172,byak,banyak
4173,byk,banyak
4174,bynk,banyak
4175,byr,bayar
4176,bzen,bosan
4177,bzn,bosan
4178,cabut,pergi
4179,cagubnya,calon gubernurnya
4180,cahya,cahaya
4181,caiank,sayang
4182,caiyo,semangat
4183,cakep,cakap
4184,cantek,cantik
4185,capek,cape
4186,caturx,catur
4187,cayo,semangat
4188,cb,coba
4189,cecunguk2nya,cecunguk cecunguknya
4190,ceheheheh,hehe
4191,cekola,sekolah
4192,cekolah,sekolah
4193,celalaw,selalu
4194,celalu,selalu
4195,cemen,takut
4196,cemplungin,mencemplungkan
4197,cemungudh,semangat
4198,cemungut,semangat
4199,cemunguth,semangat
4200,centuryataumuniratauhambalang,century munir atau hambalang
4201,cepat2,cepat cepat
4202,cepet,cepat
4203,ceplas,ceplos
4204,ceppat,cepat
4205,cewe,cewek
4206,ciamik,indah
4207,ciap,siap
4208,ciayou,semangat
4209,cibuq,sibuk
4210,cie,wah
4211,ciee,wah
4212,cini,sini
4213,cino,cina
4214,citizens,warga kota
4215,ciyan,kasihan
4216,ciye,wah
4217,ciyus,serius
4218,ckck,wkwk
4219,ckp,cukup
4220,ckrg,sekarang
4221,ckup,cukup
4222,cling,bersih
4223,cll,selalu
4224,cllu,selalu
4225,cllw,selalu
4226,cm,cuma
4227,cma,cuma
4228,cman,cuma
4229,cmn,cuma
4230,cmpk,cempaka
4231,col,keren
4232,compares,membandingkan
4233,congrats,selamat
4234,congratulation,selamat
4235,corruptions,korupsi
4236,corruptors,koruptor
4237,cowo,cowok
4238,coz,soalnya
4239,cpat,cepat
4240,cpe,cape
4241,cpee,cape
4242,cpet,cepat
4243,cpt,cepat
4244,cptn,cepatan
4245,crt,cerita
4246,crying,menangis
4247,cs,rekan
4248,cth,contoh
4249,cukupsatuputaran,cukup satu putaran
4250,cuman,cuma
4251,cw,cewek
4252,cwe,cewek
4253,cwo,cowok
4254,d,di
4255,da,dan
4256,dah,sudah
4257,dalah,adalah
4258,dalem,dalam
4259,dann,dan
4260,dapa,ada apa
4261,dapah,ada apa
4262,dapet,dapat
4263,dapetin,mendapatkan
4264,daripaddatidda,dari pada tidak
4265,datangin,mendatangi
4266,dateng,datang
4267,daut,daud
4268,dblg,dibilang
4269,dblkng,dibelakang
4270,dbls,dibalas
4271,dbwt,dibuat
4272,dbyr,dibayar
4273,ddpn,di depan
4274,dduk,duduk
4275,de,deh
4276,demen,suka
4277,democrazy,demokrasi gila
4278,demodemo,demo demo
4279,demodemonov,demo november
4280,denger,dengar
4281,dengn,dengan
4282,depa,depan
4283,des,desember
4284,dewadewa,dewa dewa
4285,dftr,daftar
4286,dg,dengan
4287,dgn,dengan
4288,dgr,dengar
4289,dgrn,dengarkan
4290,dh,sudah
4291,dhewan,dewan
4292,diaa,dia
4293,diajakin,diajak
4294,dianutny,dianutnya
4295,diapain,diapakan
4296,dibelakanghari,di belakang hari
4297,dibiarin,dibiarkan
4298,dibobongin,dibodohi
4299,dibodohin,dibodohi
4300,dibohongin,dibohongi
4301,dibohonginataudibodohin,dibohongi atau dibodohi
4302,diboongin,dibohongi
4303,dibuatx,dibuatnya
4304,dibudigunawankan,di budi gunawankan
4305,dicuekin,dicueki
4306,didenger,didengar
4307,didengerin,didengarkan
4308,didiemin,didiamkan
4309,didlam,di dalam
4310,didzalimi,dizalimi
4311,die,dia
4312,diem,diam
4313,diem2,diam diam
4314,digembosin,digembosi
4315,diginiin,dibeginikan
4316,dijadiin,dijadikan
4317,dijatohin,dijatuhi
4318,dijdkn,dijadikan
4319,dikenyataanya,pada kenyataannya
4320,dikirain,dikiranya
4321,dikit,sedikit
4322,dimance,di mana
4323,dimandose,di mana sih
4324,dimans,dimana
4325,dimonitoring,dipantau
4326,dinaikin,dinaiki
4327,dinegri,di negeri
4328,dipake,dipakai
4329,dipemjara,di penjara
4330,diperes,diperas
4331,dipikirin,dipikirkan
4332,dipilkada,di pilkada
4333,diprose,diproses
4334,dirix,dirinya
4335,dirmh,di rumah
4336,disalahgunakan,disalah gunakan
4337,disamarinda,di samarinda
4338,disewotin,disewoti
4339,disumpahdisumpahin,disumpahi
4340,ditemenin,ditemani
4341,ditentukn,ditentukan
4342,ditetapknnya,ditetapkan
4343,ditrsangkakan,ditersangkakan
4344,dittapkn,ditetapkan
4345,diyem,diam
4346,dizhalimi,dizalimi
4347,dizholimi,dizalimi
4348,dizolimi,dizalimi
4349,djakarta,di jakarta
4350,djasatuputaran,di satu putaran
4351,djkt,di jakarta
4352,djl,di jalan
4353,djln,di jalan
4354,djmin,dijamin
4355,dkat,dekat
4356,dket,dekat
4357,dkijakarta,dki jakarta
4358,dkls,di kelas
4359,dkmps,di kampus
4360,dkmr,di kamar
4361,dkntr,di kantor
4362,dksh,dikasih
4363,dkt,dekat
4364,dl,dulu
4365,dlm,dalam
4366,dlmnya,dalamnya
4367,dlrng,dilarang
4368,dlu,dulu
4369,dluan,duluan
4370,dmana,di mana
4371,dmkn,dimakan
4372,dmn,di mana
4373,dmna,di mana
4374,dmnmn,di mana mana
4375,dmny,di mana
4376,dn,dan
4377,dng,dengan
4378,dngan,dengan
4379,dngar,dengar
4380,dnger,dengar
4381,dngerin,dengarkan
4382,dngn,dengan
4383,dngr,dengar
4384,doain,doakan
4385,doank,doang
4386,doi,dia
4387,dongok,dungu
4388,donlot,unduh
4389,dont,do not
4390,doyan,suka
4391,dp,uang muka
4392,dpan,depan
4393,dpet,dapat
4394,dpk,depok
4395,dpkrkn,dipikirkan
4396,dpn,depan
4397,dpnrmh,di depan rumah
4398,dpt,dapat
4399,dr,dari
4400,drg,dokter gigi
4401,drh,darah
4402,dri,dari
4403,drmh,di rumah
4404,drmn,dari mana
4405,drpd,daripada
4406,drtd,dari tadi
4407,drumah,di rumah
4408,dsar,dasar
4409,dsb,dan sebagainya
4410,dsblh,di sebelah
4411,dsini,di sini
4412,dsklh,di sekolah
4413,dsni,di sini
4414,dsnii,di sini
4415,dst,dan seterusnya
4416,dtetapak,ditetapkan
4417,dtg,datang
4418,dtgn,datang
4419,dtgny,datangnya
4420,dtmbh,di tambah
4421,dtmpt,di tempat
4422,dtng,datang
4423,dttapkn,ditetapkan
4424,dtuntut,dituntun
4425,duabelas,dua belas
4426,duaduanya,dua duanya
4427,duchh,aduh
4428,duh,aduh
4429,duit2,duit duit
4430,dukungahok,dukung ahok
4431,dukungfatwa,dukung fatwa
4432,dukungfatwamui,dukung fatwa mui
4433,duluan,lebih dahulu
4434,duluw,dahulu
4435,dunk,dong
4436,durung,belum
4437,dy,dia
4438,dya,dia
4439,dzolim,zalim
4440,dzolimi,dizalimi
4441,ea,iya
4442,eagles,elang
4443,ealah,iyalah
4444,ech,eh
4445,eehh,eh
4446,egak,tidak
4447,egh,eh
4448,ehh,eh
4449,ekong,kakek
4450,elech,alah
4451,elee,alah
4452,elektibilitas,elektabilitas
4453,elit,elite
4454,elo,kamu
4455,elu,kamu
4456,eman,sayang
4457,emang,memang
4458,emangnya,memangnya
4459,emank,memang
4460,emg,memang
4461,emng,memang
4462,en,dan
4463,ending,akhir
4464,endingnya,akhirnya
4465,engga,tidak
4466,enggak,tidak
4467,enjarakanahok,penjarakan ahok
4468,enk,enak
4469,entar,nanti
4470,ente,kamu
4471,entee,kamu
4472,erti,mengerti
4473,esbeye,susilo bambang yudhoyono
4474,eskrim,es krim
4475,eteb,bosan
4476,everythings,segalanya
4477,faham,paham
4478,fanati,fanatik
4479,fb,facebook
4480,fcked,fuck
4481,fears,fear
4482,feb,februari
4483,fikir,pikir
4484,fikiran,pikiran
4485,finah,fitnah
4486,follback,ikuti
4487,follbek,ikuti
4488,followback,ikuti
4489,follower,pengikut
4490,followers,pengikut
4491,freeahok,free ahok
4492,futures,masa depan
4493,g,tidak
4494,ga,tidak
4495,gaada,tidak ada
4496,gabakal,tidak akan
4497,gaberani,tidak berani
4498,gabisa,tidak bisa
4499,gaboleh,tidak boleh
4500,gabut,kurang kerjaan
4501,gada,tidak ada
4502,gaenak,tidak enak
4503,gaikut,tidak ikut
4504,gajadi,tidak jadi
4505,gajelas,tidak jelas
4506,gak,tidak
4507,gakuat,tidak kuat
4508,gakz,tidak
4509,galak2,galak galak
4510,galo,galau
4511,gamasuk,tidak masuk
4512,gamau,tidak mau
4513,ganbate,semangat
4514,ganyangahok,ganyang ahok
4515,ganyangcina,ganyang cina
4516,gapake,tidak pakai
4517,gapapa,tidak apa apa
4518,gapapalah,tidak apalah
4519,gapape,tidak apa
4520,gapedulisamastatus,tidak peduli dengan status
4521,gapernah,tidak pernah
4522,gapunya,tidak punya
4523,gara2,gara gara
4524,garangangarangan,garang
4525,garem,garam
4526,gasuka,tidak suka
4527,gatau,tak tau
4528,gataw,tak tau
4529,gatel,gatal
4530,gausah,tidak usah
4531,gawe,kerja
4532,gbr,gambar
4533,gdg,gudang
4534,gece,gerak cepat
4535,gelaja,gejala
4536,gelarperkarasudahdiumumkan,gelar perkara sudah umum
4537,gelik,geli
4538,gelo,gila
4539,gemes,gemas
4540,gengges,ganggu
4541,genks,geng
4542,gera,gerak
4543,gerja,gereja
4544,ggl,gagal
4545,ghiy,lagi
4546,gi,lagi
4547,gilak,gila
4548,gile,gila
4549,gilla,gila
4550,gimana,bagaimana
4551,gimanapun,bagaimanapun
4552,gin,begini
4553,ginian,beginian
4554,gitu,begitu
4555,gituan,begitu
4556,gituh,begitu
4557,gk,tidak
4558,gmana,bagaimana
4559,gmbr,gambar
4560,gmn,bagaimana
4561,gmna,bagaimana
4562,gmpg,gampang
4563,gmpng,gampang
4564,gni,begini
4565,gnti,ganti
4566,goblog,goblok
4567,goblog2in,goblok goblokin
4568,going,pergi
4569,gonna,pergi
4570,gosipin,menggosipkan
4571,gov,gubernur
4572,governo,gubernur
4573,governoor,gubernur
4574,governor,gubernur
4575,governour,gubernur
4576,govt,pemerintah
4577,goyangin,goyangkan
4578,gpl,tidak pakai lama
4579,gpny,tidak punya
4580,gpp,tidak apa apa
4581,gprnh,tidak pernah
4582,gr,gede rasa
4583,gr2,gara gara
4584,gratisan,gratis
4585,gregetan,geregetan
4586,gt,begitu
4587,gtu,begitu
4588,gtw,tak tau
4589,gua,gue
4590,gub,gubernur
4591,gubatauwalkot,gubernur atau walikota
4592,gubenur,gubernur
4593,guberenur,gubernur
4594,guemewek,gue mewek
4595,guoblog,goblok
4596,gurbenur,gubernur
4597,guwe,gue
4598,gw,gue
4599,gwe,gue
4600,gws,semoga lekas sembuh
4601,gx,tidak
4602,ha,apa
4603,habaib,habib
4604,hacur,hancur
4605,hadeh,aduh
4606,hadeuh,aduh
4607,hahaha,haha
4608,hahahahaha,haha
4609,hapal,hafal
4610,hape,telepon genggam
4611,happening,terjadi
4612,haq,hak
4613,haqq,hakiki
4614,hariharimu,hari harimu
4615,harini,hari ini
4616,haritoleransiinternasional,hari toleransi internasional
4617,haritoleransinasional,hari toleransi nasional
4618,hastag,tagar
4619,hastage,tagar
4620,haters,hater
4621,hatinye,hatinya
4622,hbd,selamat ulang tahun
4623,hbis,habis
4624,hbng,hubungi
4625,hbngn,hubungan
4626,hbs,habis
4627,hbskn,habiskan
4628,hdup,hidup
4629,hebatx,hebatnya
4630,helow,halo
4631,hepi,senang
4632,hepihepinya,senang senangnya
4633,hera,heran
4634,hestag,tagar
4635,hestagnya,tagarnya
4636,hesteg,tagar
4637,hestek,tagar
4638,hgga,hingga
4639,hha,haha
4640,hhaaa,haha
4641,hidupgwselo,hidup saya santai
4642,hilangin,hilangkan
4643,hkm,hukum
4644,hkum,hukum
4645,hlg,hilang
4646,hlm,halaman
4647,hlmn,halaman
4648,hmm,hem
4649,hny,hanya
4650,hnya,hanya
4651,hoak,hoaks
4652,hoaker,penyebar hoaks
4653,hoakers,penyebar hoaks
4654,hog,ahok
4655,hok,ahok
4656,hopeless,putus asa
4657,hormatin,hormati
4658,hotels,hotel
4659,hr,hari
4660,hrapan,harapan
4661,hrg,harga
4662,hrgny,harganya
4663,hri,hari
4664,hrs,harus
4665,hrsny,seharusnya
4666,hrsnya,seharusnya
4667,hrus,harus
4668,hsl,hasil
4669,hti,hati
4670,huah,wah
4671,huakbar,allahu akbar
4672,hub,hubung
4673,hubunganya,hubungannya
4674,huehue,hehe
4675,hukumanny,hukumannya
4676,hums,rumah
4677,humz,rumah
4678,huum,iya
4679,huwallohu,allahu
4680,hy,hanya
4681,idelete,hapus
4682,idup,hidup
4683,igat,ingat
4684,ihlas,ikhlas
4685,ijo,hijau
4686,iket,ikat
4687,iki,ini
4688,iklas,ikhlas
4689,iku,ikut
4690,ikutikutan,ikut ikutan
4691,ikutin,ikuti
4692,ilah,lah
4693,ilang,hilang
4694,ilangnya,hilangnya
4695,imbau,himbau
4696,imembela,saya membela
4697,imwith,saya dengan
4698,imwithahok,saya dengan ahok
4699,ind,indonesia
4700,indakk,tidak
4701,independen,bebas
4702,indo,indonesia
4703,indonesian,indonesia
4704,inget,ingat
4705,ingetin,ingatkan
4706,ingnikan,menginginkan
4707,ingt,ingat
4708,inibarujakarta,ini baru jakarta
4709,inideh,ini deh
4710,innocense,tidak bersalah
4711,inoleran,tidak toleran
4712,insallah,insyaallah
4713,insha,insya
4714,insyaa,insya
4715,insyaallah,insyaallah
4716,insyaalloh,insyaallah
4717,insyallah,insyaallah
4718,internationally,international
4719,isa,bisa
4720,iso,bisa
4721,istandwithahok,saya berdiri dengan ahok
4722,istrht,istirahat
4723,item,hitam
4724,its,ini
